01;Extrativa mineral
02;Indústria de produtos minerais nao metálicos
03;Indústria metalúrgica
04;Indústria mecânica
05;Indústria do material elétrico e de comunicaçoes
06;Indústria do material de transporte
07;Indústria da madeira e do mobiliário
08;Indústria do papel, papelao, editorial e gráfica
09;Ind. da borracha, fumo, couros, peles, similares, ind. diversas
10;Ind. química de produtos farmacêuticos, veterinários, perfumaria
11;Indústria têxtil do vestuário e artefatos de tecidos
12;Indústria de calçados
13;Indústria de produtos alimentícios, bebidas e álcool etílico
14;Serviços industriais de utilidade pública
15;Construçao civil
16;Comércio varejista
17;Comércio atacadista
18;Instituiçoes de crédito, seguros e capitalizaçao
19;Com. e administraçao de imóveis, valores mobiliários, serv. Técnico
20;Transportes e comunicaçoes
21;Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao
22;Serviços médicos, odontológicos e veterinários
23;Ensino
24;Administraçao pública direta e autárquica
25;Agricultura, silvicultura, criaçao de animais, extrativismo vegetal
